"country","issue_date","alert_title","alert_url","raw_place_name","start_issue_date"
"Canada",2025-04-02,"Whooping cough outbreak is over in Igloolik after 7 cases, says ...",NA,"Nunavut Territory, Canada",822
"Canada",2025-03-19,"Whooping cough outbreak declared in Naujaat, Nunavut - CBC.ca",NA,"Nunavut Territory, Canada",808
"Canada",2024-12-16,"Residents advised to stay home after Nunavut declares whooping cough ...",NA,"Nunavut Territory, Canada",715
"United States",2025-04-13,"Whooping cough kills 2 infants in Louisiana as Texas sees cases rise ...",NA,"Texas, United States",833
"United States",2024-11-25,"Lubbock Health Department warns community about recent rise in ...",NA,"Texas, United States",694
"United States",2024-11-18,"Texas cases of whooping cough on the rise - KHOU.com",NA,"Texas, United States",687
"United States",2024-11-14,"Texas says cases of whooping cough triple from last year as cool ...",NA,"Texas, United States",683
"United States",2024-10-17,"Galveston County is nation's latest whooping cough hot spot - Chron",NA,"Texas, United States",655
"United States",2025-04-09,"FDOH offers whooping cough vaccine after student in Broward County ...",NA,"Miami, Florida, United States",829
"United States",2025-04-08,"Case of whooping cough reported at Broward elementary school - WPLG ...",NA,"Miami, Florida, United States",828
"United States",2025-03-27,"Whooping cough on the rise in Seattle - KPQ",NA,"Seattle, Washington, United States",816
"United States",2025-03-19,"Montana sees increase in whooping cough cases compared to previous ...",NA,"Montana, United States",808
"United States",2023-05-27,"Whooping cough circulating in Central Montana | News ... - Lewistown ...",NA,"Montana, United States",146
"United States",2025-03-10,"Whooping Cough Cases Up in Wyoming - Jackson Hole Radio",NA,"Wyoming, United States",799
"United States",2025-03-07,"Whooping Cough Continues Wyoming Spread - Wyoming Department of Health",NA,"Wyoming, United States",796
"United States",2025-02-05,"Whooping cough cases rise in Sheridan County, Wyoming - NonStop Local ...",NA,"Wyoming, United States",766
"United States",2025-03-10,"Flu levels in Georgia decline as whooping cough continues to ...",NA,"Georgia, United States",799
"United States",2024-01-28,"Another case of whooping cough surfaces in GA. Villingili - Raajjemv",NA,"Georgia, United States",392
"United States",2024-01-23,"Three cases of whooping cough identified in GA. Villingili - Avas.mv",NA,"Georgia, United States",387
"United States",2025-03-03,"Oklahoma seeing largest whooping cough outbreak in decades, experts ...",NA,"Oklahoma, United States",792
"United States",2024-12-20,"RISING CASES: More whooping Cough in Oklahoma this year - 2 News ...",NA,"Oklahoma, United States",719
"United States",2024-09-16,"Bartlesville Public Schools warns parents of whooping cough outbreak ...",NA,"Oklahoma, United States",624
"United States",2025-03-03,"Whooping Cough Cases Skyrocket In Pittsburgh Area - Pittsburgh, PA ...",NA,"Pennsylvania, United States",792
"United States",2025-02-03,"Whooping cough case reported at North Penn School District elementary ...",NA,"Pennsylvania, United States",764
"United States",2024-12-16,"Whooping cough outbreak reported at North Penn High School - 69News ...",NA,"Pennsylvania, United States",715
"United States",2024-12-05,"CDC: WHOOPING COUGH SURGING IN PENNSYLVANIA, U.S. - wccsradio.com",NA,"Pennsylvania, United States",704
"United States",2024-11-22,"Whooping cough case confirmed at North Penn High School - North Penn ...",NA,"Pennsylvania, United States",691
"United States",2024-11-09,"Pennsylvania Leads U.S. Pertussis Outbreak - Precision Vaccinations",NA,"Pennsylvania, United States",678
"United States",2024-10-12,"Pennsylvania hit hardest by nationwide whooping cough outbreak - ...",NA,"Pennsylvania, United States",650
"United States",2024-09-23,"Pennsylvania has more cases of highly contagious whooping cough than ...",NA,"Pennsylvania, United States",631
"United States",2024-07-05,"Allegheny County Health Department reports a rise in Whooping Cough ...",NA,"Pennsylvania, United States",551
"United States",2024-05-30,"Multiple Pittsburgh-area school districts dealing with whooping cough ...",NA,"Pennsylvania, United States",515
"United States",2024-04-22,"Whooping Cough Outbreaks In Montco Primarily High Schoolers - Patch",NA,"Pennsylvania, United States",477
"United States",2024-04-17,"Health officials investigating increase in whooping cough cases among ...",NA,"Pennsylvania, United States",472
"United States",2024-01-09,"Pennsylvania sees rise in whooping cough cases among children - WPMT ...",NA,"Pennsylvania, United States",373
"United States",2023-11-09,"Pennsylvania School District Reports Whooping Cough Outbreak - The ...",NA,"Pennsylvania, United States",312
"Pacific Ocean",2025-02-25,"Epidemic and emerging disease alerts in the Pacific as of 25 February ...",NA,"Pacific Ocean",786
"United States",2025-02-24,"Whooping cough is on the rise in Mobile County - NBC 15 WPMI",NA,"Alabama, United States",785
"United States",2025-02-15,"Mobile County Health Department working to prevent spread of ...",NA,"Alabama, United States",776
"United States",2025-02-10,"Illegal aliens likely adding to higher cases of whooping cough, other ...",NA,"Alabama, United States",771
"United States",2024-12-09,"Whooping Cough cases spiking in Alabama - WBRC",NA,"Alabama, United States",708
"United States",2024-11-25,"Highly Contagious Whooping Cough Diagnosed in Tuscaloosa-Area Schools ...",NA,"Alabama, United States",694
"United States",2024-11-19,"Whooping cough outbreak spreads to Alabama college as case numbers ...",NA,"Alabama, United States",688
"United States",2024-11-07,"North Alabama school district confirms whooping cough case - WAFF",NA,"Alabama, United States",676
"United States",2024-10-31,"Whooping cough found at Alabama schools: What is pertussis? Should ...",NA,"Alabama, United States",669
"Kazakhstan",2025-02-16,"Whooping cough on the rise in W Kazakhstan - ÐšÐ°Ð·Ð¸Ð½Ñ„Ð¾Ñ€Ð¼",NA,"Kazakhstan",777
"Kazakhstan",2024-07-19,"Whooping cough and measles cases down in Kazakhstan - ...",NA,"Kazakhstan",565
"Kazakhstan",2024-06-11,"Kazakhstan reports one whooping cough fatal case - AKIpress",NA,"Kazakhstan",527
"Kazakhstan",2024-05-29,"North Kazakhstan reports increase in whooping cough cases - ...",NA,"Kazakhstan",514
"China",2025-02-13,"Monthly distribution of reported pertussis cases in children under 5 ...",NA,"Chongqing, China",774
"United States",2025-02-07,"Compared to the stateâ€™s five-year average, South Dakota had a 962% ...",NA,"South Dakota, United States",768
"United States",2025-01-24,"Child dead from pertussis, influenza in South Dakota, says state ...",NA,"South Dakota, United States",754
"United States",2024-09-14,"Whooping cough outbreak cancels Portland State football game against ...",NA,"South Dakota, United States",622
"New Zealand",2025-02-02,"NZ donates 6000 doses of Boostrix vaccine to Samoa to fight whooping ...",NA,"New Zealand",763
"New Zealand",2025-01-15,"[News Brief] New Zealand reports first death from whooping cough ...",NA,"New Zealand",745
"New Zealand",2024-12-26,"Whooping cough: Samoa waits for more test results from New Zealand - ...",NA,"New Zealand",725
"New Zealand",2024-11-29,"Whooping cough outbreak rages, New Zealand's national case count ...",NA,"New Zealand",698
"New Zealand",2024-11-21,"ã€News Briefã€‘New Zealand has a whooping cough outbreak, health ...",NA,"New Zealand",690
"New Zealand",2024-11-21,"New Zealand declares whooping cough epidemic - RNZ",NA,"New Zealand",690
"New Zealand",2024-10-09,"NZ on â€˜high alertâ€™ for pertussis outbreak; vigilance and ...",NA,"New Zealand",647
"New Zealand",2023-08-31,"Passengers on Perth-Auckland flight exposed to whooping cough - 1News",NA,"New Zealand",242
"New Zealand",2023-04-14,"Case of whooping cough in Nelson Marlborough, likely to be ... - Stuff",NA,"New Zealand",103
"New Zealand",2023-04-05,"Whooping cough spreading in Waikato through unidentified cases - Stuff",NA,"New Zealand",94
"United States",2025-01-29,"TN school system notified of multiple whooping cough cases - WSMV 4",NA,"Tennessee, United States",759
"United States",2025-01-28,"Whooping cough outbreak confirmed at Colorado Springs middle school - ...",NA,"Colorado, United States",758
"United States",2024-08-26,"Whooping cough cases have tripled in Colorado. Be aware of the ...",NA,"Colorado, United States",603
"Canada",2025-01-25,"Pertussis is on the rise in a number of European countries and ...",NA,"Canada",755
"Canada",2024-12-27,"Whooping cough is on the rise in the States. What's happening in ...",NA,"Canada",726
"Canada",2024-12-06,"Whooping cough cases hit 10-year high during Thanksgiving week - ...",NA,"Canada",705
"Canada",2024-11-14,"The ""deadly whooping cough virus"" began to spread in ...",NA,"Canada",683
"Canada",2024-08-29,"Whooping cough cases are soaring to new heights in Canada. What's ...",NA,"Canada",606
"Canada",2024-05-09,"The Department of Health issued information on whooping cough to ...",NA,"Canada",494
"Canada",2024-05-08,"[Whooping cough outbreak in Europe] PHAC says you need to know this ...",NA,"Canada",493
"China",2025-01-22,"Taiwan reports first whooping cough case of 2025 - TVBS",NA,"Taiwan",752
"China",2024-12-19,"Whooping cough outbreak in northern Taiwan raises concern - Radio ...",NA,"Taiwan",718
"China",2024-07-30,"New whooping cough cases reported last week - å°åŒ—æ™‚å ±",NA,"Taiwan",576
"Mexico",2025-01-17,"Whooping cough outbreak reported in Mexico City - Tabasco TODAY",NA,"Ciudad de MÃ©xico, Distrito Federal, Mexico",747
"United States",2025-01-11,"Minnesota reports huge increase in whooping cough cases lod - ...",NA,"Minnesota, United States",741
"United States",2024-12-20,"COUGHING? Pertussis Cases on the Rise in Minnesota This Year - ...",NA,"Minnesota, United States",719
"United States",2024-10-16,"Minnesota whooping cough numbers highest in eight years - CBS News",NA,"Minnesota, United States",654
"United States",2024-08-19,"**Minnesota Sees Surge in Whooping Cough Cases, with Adolescents ...",NA,"Minnesota, United States",596
"United States",2024-07-29,"Health Nuggets: Pertussis cases are increasing in Minnesota - Park ...",NA,"Minnesota, United States",575
"United States",2024-05-29,"'Whooping cough', pertussis outbreak reported in Minnetonka schools - ...",NA,"Minnesota, United States",514
"United States",2024-04-26,"Multiple Minnetonka High School students test positive for whooping ...",NA,"Minnesota, United States",481
"Australia",2024-12-31,"Queensland experiencing severe whooping cough outbreak - MSN",NA,"Queensland, Australia",730
"Australia",2024-11-26,"Whooping cough: Queensland baby dies in unprecedented outbreak - 1News",NA,"Queensland, Australia",695
"Australia",2024-11-25,"Queensland whooping cough vaccine numbers down in pregnant women amid ...",NA,"Queensland, Australia",694
"Australia",2024-08-29,"Queensland faces whooping cough surge - Warwick Today",NA,"Queensland, Australia",606
"Canada",2024-12-30,"QC declares pertussis outbreak - MSN",NA,"Quebec Province, Canada",729
"Canada",2024-09-20,"Unpredictable whooping cough outbreaks see cases rise in Ontario, ...",NA,"Quebec Province, Canada",628
"Canada",2024-09-04,"Whooping cough cases surging in Quebec: public health - CTV News ...",NA,"Quebec Province, Canada",612
"Canada",2024-07-08,"Quebec has crossed the threshold of 6,000 cases of whooping cough in ...",NA,"Quebec Province, Canada",554
"Canada",2024-07-09,"Over 6,000 whooping cough cases in Quebec - CityNews Montreal",NA,"Quebec Province, Canada",555
"Canada",2024-06-29,"QC, Pasig declare pertussis outbreaks - MSN",NA,"Quebec Province, Canada",545
"Canada",2024-04-08,"QC PROCURES PERTUSSIS VACCINES TO COMBAT RISING CASES - Maharlika ...",NA,"Quebec Province, Canada",463
"United States",2024-12-26,"As whooping cough spikes nationwide, Wisconsin continues to see among ...",NA,"Wisconsin, United States",725
"United States",2024-10-03,"Wisconsin seeing increase in whooping cough cases - WJFW-TV",NA,"Wisconsin, United States",641
"United States",2024-09-24,"Answering all your questions about 2024 whooping cough outbreak in ...",NA,"Wisconsin, United States",632
"United States",2024-09-19,"Whooping cough cases in Wisconsin are 10 times higher than last year, ...",NA,"Wisconsin, United States",627
"United States",2024-09-05,"Case of whooping cough confirmed at Green Bay middle school - ...",NA,"Wisconsin, United States",613
"United States",2024-07-29,"WI Whooping Cough Outbreak Now over 220 Cases - WTAQ",NA,"Wisconsin, United States",575
"United States",2024-07-29,"Wisconsin DHS continues to monitor pertussis uptick - Spectrum News 1",NA,"Wisconsin, United States",575
"United States",2024-07-10,"Fond du Lac County reports 15 cases of whooping cough, urges ...",NA,"Wisconsin, United States",556
"United States",2024-07-05,"Wisconsin seeing more than double the cases of Whooping Cough than ...",NA,"Wisconsin, United States",551
"United States",2024-05-21,"Whooping cough impacting Wisconsin communities - WPR",NA,"Wisconsin, United States",506
"United States",2024-12-23,"Fort Wayne area physicians warn of whooping cough resurgence, urge ...",NA,"Indiana, United States",722
"Brazil",2024-12-11,"Whooping cough outbreak: cases increase 20 times in one year in the ...",NA,"SÃ£o Paulo, Brazil",710
"Brazil",2024-07-12,"SÃ£o Paulo records pertussis outbreak - TV Brasil |",NA,"SÃ£o Paulo, Brazil",558
"Brazil",2024-07-12,"SÃ£o Paulo records pertussis outbreak | Reporter Brasil Tarde | TV ...",NA,"SÃ£o Paulo, Brazil",558
"Brazil",2024-06-14,"Whooping cough outbreak in SÃ£o Paulo worries health authorities - BS9",NA,"SÃ£o Paulo, Brazil",530
"Brazil",2024-06-12,"Pertussis outbreak worries Europe and there is already an increase in ...",NA,"SÃ£o Paulo, Brazil",528
"Brazil",2024-06-11,"City of SP reaches 105 cases of whooping cough and city hall issues ...",NA,"SÃ£o Paulo, Brazil",527
"Singapore",2024-12-18,"Cases of whooping cough spike in Singapore; doctors flag lack of ...",NA,"Singapore",717
"Finland",2024-12-06,"Macrolide-resistant Bordetella pertussis strain identified during ...",NA,"Finland",705
"Canada",2024-12-06,"Whooping cough cases highest rate recorded since 2007 in Ontario - ...",NA,"Ontario Province, Canada",705
"Canada",2024-09-20,"Unpredictable whooping cough outbreaks see cases rise in Ontario, ...",NA,"Ontario Province, Canada",628
"Canada",2024-07-23,"12 cases of whooping cough confirmed in Brantford and Brant County: ...",NA,"Ontario Province, Canada",569
"Canada",2024-07-03,"North Bay Parry Sound District Health Unit warns about whooping cough ...",NA,"Ontario Province, Canada",549
"Canada",2024-06-29,"Eastern Ontario Health Unit warns of rise in whooping cough - CBC.ca",NA,"Ontario Province, Canada",545
"Canada",2024-04-16,"Kawartha Lakes sees confirmed cases of whooping cough - The ...",NA,"Ontario Province, Canada",471
"Canada",2023-03-27,"Whooping cough on the rise in southern Ontario - CP24",NA,"Ontario Province, Canada",85
"Canada",2023-03-16,"Jump in whooping cough cases in Wellington-Dufferin-Guelph not a ... ...",NA,"Ontario Province, Canada",74
"Canada",2023-03-07,"whooping cough cases Wellington-Dufferin-Guelph - CTV News Kitchener",NA,"Ontario Province, Canada",65
"Australia",2024-12-04,"WA health authorities urge parents to vaccinate children against ...",NA,"Western Australia, Australia",703
"Australia",2024-10-17,"How bad is WAâ€™s whooping cough outbreak? Cases have reached highest ...",NA,"Western Australia, Australia",655
"Australia",2024-10-11,"800+ cases of whooping cough in WA, 600+ in OR - Fox 12 Oregon",NA,"Western Australia, Australia",649
"Australia",2024-07-30,"Whooping cough cases surge in WAâ€™s South West - The West Australian",NA,"Western Australia, Australia",576
"United States",2024-11-26,"Whooping Cough Outbreak Hits Chicago's Lane Tech High School Amid ...",NA,"Chicago, Illinois, United States",695
"United States",2024-11-26,"Whooping Cough on the Rise in Maine as More Cases Confirmed in ...",NA,"Maine, United States",695
"United States",2024-11-26,"Whooping cough resurges in Kane County with 92 cases so far this year ...",NA,"Illinois, United States",695
"United States",2024-11-26,"Boston Public Schools Warns of Increased Pneumonia and Whooping Cough ...",NA,"Boston, Massachusetts, United States",695
"United States",2024-06-28,"Concern in Brookline over whooping cough outbreak - Boston News, ...",NA,"Boston, Massachusetts, United States",544
"United States",2024-11-25,"More whooping cough cases reported in McDonough County school ...",NA,"McDonough County, Illinois, United States",694
"United States",2024-11-19,"Pertussis case at West Prairie High School prompts vigilance alert in ...",NA,"McDonough County, Illinois, United States",688
"Mexico",2024-11-21,"Whooping cough spreading in Tijuana with 40 cases detected this week ...",NA,"Estado de Baja California, Mexico",690
"United States",2024-11-20,"San Diego County has the most pertussis cases in California: What are ...",NA,"San Diego, California, United States",689
"United States",2023-11-30,"San Diego County says cases of whooping cough are increasing - NBC ...",NA,"San Diego, California, United States",333
"United States",2024-11-19,"Whooping cough cases spike across Massachusetts - GBH News",NA,"Massachusetts, United States",688
"United States",2024-11-14,"Whooping cough is on the rise in New England. Hereâ€™s what to know. ...",NA,"Massachusetts, United States",683
"South Korea",2024-11-11,"South Korean media: South Korea has its first death from whooping ...",NA,"South Korea",680
"South Korea",2024-11-11,"Korea reports 1st whooping cough death - ì½”ë¦¬ì•„íƒ€ìž„ìŠ¤",NA,"South Korea",680
"South Korea",2024-11-11,"South Korea reports first death from whooping cough - ì—°í•©ë‰´ìŠ¤",NA,"South Korea",680
"Canada",2024-11-14,"Health authorities confirm highly contagious pertussis case found on ...",NA,"Vancouver, British Columbia, Canada",683
"Canada",2024-11-14,"Travellers on Yukon flight may have been exposed to pertussis - Yukon ...",NA,"Yukon Territory, Canada",683
"Canada",2024-09-24,"Whooping cough on the rise as Yukon hits seven cases in two months - ...",NA,"Yukon Territory, Canada",632
"United States",2024-11-13,"Whooping Cough Cases On Rise At Local School: PM Patch RI - Patch",NA,"Rhode Island, United States",682
"Malaysia",2024-11-12,"South Korea's first whooping cough death: 2-month-old baby dies 5 ...",NA,"Malaysia",681
"Malaysia",2023-08-22,"Zariha: The Ministry of Health is investigating the whooping cough ...",NA,"Malaysia",233
"Malaysia",2023-08-21,"Pertussis, Diphtheria, Measles Spiked In Malaysia In 2022 - CodeBlue",NA,"Malaysia",232
"Malaysia",2023-04-28,"Sabah records 986pc increase in whooping cough cases - Daily Express",NA,"Malaysia",117
"Australia",2024-11-05,"Scientists develop test to better track whooping cough strains amid ...",NA,"Australia",674
"Australia",2024-07-04,"The number of pertussis cases in two Australian states has surged to ...",NA,"Australia",550
"Australia",2024-06-30,"Australia on track for worst year of whooping cough since 2016 as ...",NA,"Australia",546
"Australia",2024-06-20,"Why are whooping cough infections surging in Australia and should you ...",NA,"Australia",536
"Australia",2024-06-11,"Whooping cough cases rise across Australia but medication is in short ...",NA,"Australia",527
"Australia",2024-02-08,"Australia Rings Alarm Bells as Whooping Cough Cases Surge - BNN ...",NA,"Australia",403
"United States",2024-11-05,"Whooping cough spikes dramatically among Missouri residents - KCUR",NA,"Missouri, United States",674
"Croatia",2024-11-02,"Whooping cough epidemic in Croatia reaches alarming proportions - MSN",NA,"Croatia",671
"Croatia",2024-08-15,"Whooping cough epidemic in Croatia reaches alarming proportions - MSN",NA,"Croatia",592
"Croatia",2023-12-11,"Infection numbers in the whooping cough epidemic in Croatia are ...",NA,"Croatia",344
"Croatia",2023-11-29,"1100 cases | Warning of whooping cough epidemic in Croatia - Small ...",NA,"Croatia",332
"Croatia",2023-11-29,"Croatia Struggles To Contain Whooping Cough Epidemic - Barron's",NA,"Croatia",332
"Canada",2024-11-01,"Confirmed Whooping Cough Cases Up in Labrador-Grenfell Zone - VOCM",NA,"Labrador, Newfoundland and Labrador, Canada",670
"Canada",2024-10-31,"Whooping cough slowly on the rise in Sask., doctor recommends vaccine ...",NA,"Saskatchewan Province, Canada",669
"Canada",2023-08-11,"Whooping cough outbreak declared in Preeceville area: Sask ... - CTV ...",NA,"Saskatchewan Province, Canada",222
"Canada",2023-07-04,"Whooping cough not increasing in Saskatchewan yet - SaskToday.ca",NA,"Saskatchewan Province, Canada",184
"United States",2024-10-28,"Pertussis Cases Spiking in Nebraska Panhandle â€“ KCSR / KBPY - ...",NA,"Nebraska, United States",666
"United States",2024-10-14,"Infectious disease physician shares tips to avoid whooping cough as ...",NA,"Nebraska, United States",652
"United States",2024-09-20,"Whooping cough in Nebraska - MSC News",NA,"Nebraska, United States",628
"Russia",2024-10-25,"Whitman County Public Health investigating 37 cases of whooping cough ...",NA,"Moscow, Russia",663
"United States",2024-10-23,"Whooping cough on the rise in NJ as flu season arrives. How bad will ...",NA,"New Jersey, United States",661
"United States",2024-02-15,"Case of whooping cough hits High Point NJ high school - ...",NA,"New Jersey, United States",410
"United States",2024-10-22,"Anne Arundel County schools sees whooping cough cases; Know the signs ...",NA,"Maryland, United States",660
"United States",2024-03-15,"Whooping Cough Making A Comback in Maryland - WBAL Radio",NA,"Maryland, United States",439
"United States",2024-10-22,"Whooping cough case confirmed at Cheyenne Mountain High School - KKTV",NA,"Colorado Springs, Colorado, United States",660
"United States",2024-10-19,"Pertussis Surge in 2024: Why Arizona is at Greater Risk - AZ Public ...",NA,"Arizona, United States",657
"Canada",2024-10-08,"NL Still Dealing With Whooping Cough Outbreak - VOCM",NA,"Newfoundland and Labrador Province, Canada",646
"Hungary",2024-10-08,"Suspected whooping cough cases drop in Hungary for the fourth week in ...",NA,"Hungary",646
"Hungary",2024-10-02,"Number of suspected pertussis cases falls again in Hungary - Portfolio",NA,"Hungary",640
"Hungary",2024-09-24,"Number of suspected whooping cough cases drops slightly in Hungary - ...",NA,"Hungary",632
"Hungary",2024-09-17,"Whooping cough cases drop in Hungary, but expert warns of imminent ...",NA,"Hungary",625
"Hungary",2024-07-23,"Two newborns die of pertussis in Hungary, epidemiological authority ...",NA,"Hungary",569
"Canada",2024-09-22,"Demand up for whooping cough vaccine as P.E.I. deals with outbreak: ...",NA,"Prince Edward Island Province, Canada",630
"United States",2024-09-20,"Whooping cough spike reaches epidemic level in Alaska, public health ...",NA,"Alaska, United States",628
"United States",2024-09-14,"EDITORIAL: Anchorageâ€™s whooping cough outbreak reveals some ...",NA,"Alaska, United States",622
"United States",2024-09-08,"Another whooping cough case confirmed in Anchorage schools, officials ...",NA,"Alaska, United States",616
"United States",2024-09-04,"Anchorage School District student tests positive for whooping cough - ...",NA,"Alaska, United States",612
"United States",2024-08-27,"Whooping cough is surging in Southeast Alaska - Alaska Public Media ...",NA,"Alaska, United States",604
"United States",2024-08-14,"Rising cases of â€˜whooping coughâ€™ in Alaska prompt warnings and ...",NA,"Alaska, United States",591
"United States",2024-08-06,"Whooping cough is spiking in Alaska, health authorities say - ...",NA,"Alaska, United States",583
"United States",2024-08-02,"Cases of whooping cough are spiking in Alaska this year - Alaska ...",NA,"Alaska, United States",579
"United States",2024-09-18,"Fargo & Cass County See Surge in Whooping Cough - Lakes Area Radio",NA,"North Dakota, United States",626
"United States",2024-04-03,"Whooping cough confirmed at Fargo Davies High School - KVRR",NA,"North Dakota, United States",458
"United States",2024-09-16,"Whooping cough on the rise in Iowa City - UI The Daily Iowan",NA,"Iowa, United States",624
"United States",2024-09-04,"Pertussis (whooping cough) on the rise in Iowa - UIHC.org",NA,"Iowa, United States",612
"Philippines",2024-08-27,"Iloilo City may end calamity status for pertussis, declare new one ...",NA,"Philippines",604
"Philippines",2024-06-29,"QC, Pasig declare pertussis outbreaks - MSN",NA,"Philippines",545
"Philippines",2024-06-10,"6-year-old boy first pertussis death in Bacolod this year - Digicast ...",NA,"Philippines",526
"Philippines",2024-06-11,"Bacolod logs first pertussis-related death - Panay News",NA,"Philippines",527
"Philippines",2024-05-31,"Negros Occidental pertussis cases rise further - Visayan Daily Star",NA,"Philippines",516
"Philippines",2024-05-19,"Whooping cough outbreak: Philippines plans vaccination programme - ...",NA,"Philippines",504
"Philippines",2024-05-13,"'80% CONTROLLED': Iloilo City nears lifting pertussis calamity status ...",NA,"Philippines",498
"Philippines",2024-05-06,"Negros Occidental reports 64 confirmed pertussis cases - SunStar ...",NA,"Philippines",491
"Philippines",2024-04-29,"Iloilo City eyes lifting of state of calamity due to pertussis - ...",NA,"Philippines",484
"Philippines",2024-04-25,"Philippines grapples with measles, pertussis outbreaks: UNICEF - ...",NA,"Philippines",480
"Philippines",2024-04-20,"Central Luzon pertussis cases continue to rise - Philstar.com",NA,"Philippines",475
"Philippines",2024-04-09,"Whooping cough outbreak in the Philippines has killed 54 children - ...",NA,"Philippines",464
"Philippines",2024-04-15,"One-month-old baby dies of pertussis in NegOcc - Panay News",NA,"Philippines",470
"Philippines",2024-04-11,"Iloilo City implements selective immunization vs. spread of pertussis ...",NA,"Philippines",466
"Philippines",2024-04-09,"Whooping cough outbreak in the Philippines has killed 54 children - ...",NA,"Philippines",464
"Philippines",2024-04-07,"Baguio City reports pertussis cases - Philstar.com",NA,"Philippines",462
"Philippines",2024-04-05,"DOH confirms first whooping cough case in Eastern Visayas - Manila ...",NA,"Philippines",460
"Philippines",2024-04-01,"Bacolod officials raise alarm over pertussis threat - Rappler",NA,"Philippines",456
"Philippines",2024-03-29,"Contagious pertussis disease continues spreading in Philippines; at ...",NA,"Philippines",453
"Philippines",2024-03-26,"Whooping cough kills 6 infants in Cebu - SunStar Philippines",NA,"Philippines",450
"Philippines",2024-03-24,"Taguig LGU warns public of pertussis; 8 confirmed cases recorded - ...",NA,"Philippines",448
"Philippines",2024-03-22,"Pasig: 2 of 17 kids die of â€˜whooping coughâ€™ - Philstar.com",NA,"Philippines",446
"Philippines",2024-03-21,"Whooping cough or pertussis outbreak declared in Quezon City - GMA ...",NA,"Philippines",445
"Philippines",2024-02-16,"Baby dies from whooping cough in Iloilo - Manila Bulletin",NA,"Philippines",411
"Philippines",2023-07-08,"At least 5 kids die as pertussis spreads in South Cotabato village - ...",NA,"Philippines",188
"United States",2024-08-22,"Opinion: My baby died from whooping cough. Why I want CT parents to ...",NA,"Connecticut, United States",599
"United States",2024-08-13,"A whooping cough outbreak has hit Connecticut, with with 10 times the ...",NA,"Connecticut, United States",590
"United States",2024-08-14,"Whooping cough cases rapidly rising in Connecticut - FOX61 Hartford",NA,"Connecticut, United States",591
"United States",2024-08-14,"News Flash â€¢ Whooping Cough (Pertussis) Cases on the Rise - Lenawee ...",NA,"Lenawee County, Michigan, United States",591
"Ireland",2024-08-14,"With whooping cough cases on the rise the HSE is advising people ...",NA,"Ireland",591
"United States",2024-08-08,"Whooping cough cases on the rise in Kentucky - Bowling Green Daily ...",NA,"Kentucky, United States",585
"United States",2024-07-28,"Kentucky health officials raise awareness for childhood vaccinations ...",NA,"Kentucky, United States",574
"United States",2024-07-23,"Kentucky doctors encouraging vaccines for whooping cough before ...",NA,"Kentucky, United States",569
"United States",2024-06-16,"Whooping cough cases continue to rise across Kentucky; ten cases now ...",NA,"Kentucky, United States",532
"United States",2024-06-07,"Doctors say whooping cough on the rise across Kentucky - WLKY ...",NA,"Kentucky, United States",523
"United States",2024-05-24,"Whooping Cough Alert: Lexington-Fayette County Health Department in ...",NA,"Kentucky, United States",509
"United States",2024-05-21,"Pertussis outbreak in Lexington spans ages, most dangerous for babies ...",NA,"Kentucky, United States",506
"United States",2024-05-15,"Central Kentucky parents/caregivers should be on alert for pertussis ...",NA,"Kentucky, United States",500
"United States",2023-09-08,"Whooping cough cases on the rise in Kentucky - LINK nky",NA,"Kentucky, United States",250
"United States",2023-08-15,"Whooping cough case identified in Ky. school - WKYT",NA,"Kentucky, United States",226
"United States",2023-05-22,"Ky. kids still arenâ€™t as immunized as they were before pandemic; ...",NA,"Kentucky, United States",141
"Australia",2024-08-08,"Why it seems like every NSW school has a case of whooping cough - ...",NA,"New South Wales, Australia",585
"Australia",2024-06-18,"Whooping cough and pneumonia cases high in NSW with children most at ...",NA,"New South Wales, Australia",534
"Australia",2024-03-28,"Whatâ€™s driving a surge in whooping cough cases among NSW children - ...",NA,"New South Wales, Australia",452
"Australia",2024-02-13,"Whooping cough outbreak in Hunter-New England - Newcastle Herald",NA,"New South Wales, Australia",408
"Australia",2023-11-02,"Pertussis (whooping cough) cases increasing in NSW - CESPHN",NA,"New South Wales, Australia",305
"United States",2024-08-07,"Whooping cough cases increase in Tioga County - WHCU Radio",NA,"Tioga County, New York, United States",584
"Canada",2024-08-02,"Whooping cough case confirmed on Iqaluit to Rankin Inlet flight - ...",NA,"Iqaluit, Nunavut, Canada",579
"Canada",2024-03-19,"GN warns of whooping cough patient on Iqaluit-Rankin Inlet flight - ...",NA,"Iqaluit, Nunavut, Canada",443
"Australia",2024-08-02,"Whooping cough warning for Ballarat parents as pertussis sweeps the ...",NA,"Victoria, Australia",579
"Russia",2024-07-26,"â€˜The incidence of whooping cough, measles and enterovirus infection ...",NA,"Tatarstan Republic, Russia",572
"Canada",2024-07-25,"BCHU confirms cases of whooping cough in the region - Brant Beacon",NA,"Brant County, Ontario, Canada",571
"United States",2024-07-23,"Public Health warns about whooping cough outbreak in South King ...",NA,"King County, Washington, United States",569
"United States",2023-08-20,"Pertussis vaccination coverage and incidence in King County ... - ...",NA,"King County, Washington, United States",231
"United States",2024-07-23,"Sharp increase in whooping cough cases reported in Dane County - ...",NA,"Dane County, Wisconsin, United States",569
