"Year","name","value","Country"
2020,"50-54",72,"JP"
2020,"55-59",51,"JP"
2020,"60-64",39,"JP"
2020,"65-69",36,"JP"
2020,"70+",78,"JP"
2019,"00-00",878,"JP"
2019,"1-4",815,"JP"
2019,"5-9",5856,"JP"
2019,"10-14",4489,"JP"
2019,"15-19",664,"JP"
2019,"20-24",282,"JP"
2019,"25-29",366,"JP"
2019,"30-34",373,"JP"
2019,"35-39",526,"JP"
2019,"40-44",695,"JP"
2019,"45-49",572,"JP"
2019,"50-54",317,"JP"
2019,"55-59",225,"JP"
2019,"60-64",201,"JP"
2019,"65-69",205,"JP"
2019,"70+",381,"JP"
2018,"00-00",619,"JP"
2018,"1-4",614,"JP"
2018,"5-9",4445,"JP"
2018,"10-14",3036,"JP"
2018,"15-19",413,"JP"
2018,"20-24",216,"JP"
2018,"25-29",214,"JP"
2018,"30-34",283,"JP"
2018,"35-39",441,"JP"
2018,"40-44",503,"JP"
2018,"45-49",390,"JP"
2018,"50-54",215,"JP"
2018,"55-59",176,"JP"
2018,"60-64",137,"JP"
2018,"65-69",145,"JP"
2018,"70+",268,"JP"
2023,"00-04",25,"SE"
2023,"05-09",9,"SE"
2023,"10-14",18,"SE"
2023,"15-19",12,"SE"
2023,"20-29",11,"SE"
2023,"30-39",9,"SE"
2023,"40-49",16,"SE"
2023,"50-59",20,"SE"
2023,"60-69",8,"SE"
2023,"70-79",5,"SE"
2023,"80+",4,"SE"
2022,"00-04",2,"SE"
2022,"05-09",0,"SE"
2022,"10-14",1,"SE"
2022,"15-19",2,"SE"
2022,"20-29",1,"SE"
2022,"30-39",2,"SE"
2022,"40-49",1,"SE"
2022,"50-59",2,"SE"
2022,"60-69",1,"SE"
2022,"70-79",0,"SE"
2022,"80+",1,"SE"
2021,"00-04",2,"SE"
2021,"05-09",1,"SE"
2021,"10-14",0,"SE"
2021,"15-19",1,"SE"
2021,"20-29",1,"SE"
2021,"30-39",0,"SE"
2021,"40-49",3,"SE"
2021,"50-59",1,"SE"
2021,"60-69",0,"SE"
2021,"70-79",1,"SE"
2021,"80+",1,"SE"
2020,"00-04",44,"SE"
2020,"05-09",24,"SE"
2020,"10-14",34,"SE"
2020,"15-19",29,"SE"
2020,"20-29",20,"SE"
2020,"30-39",29,"SE"
2020,"40-49",44,"SE"
2020,"50-59",19,"SE"
2020,"60-69",10,"SE"
2020,"70-79",8,"SE"
2020,"80+",8,"SE"
2019,"00-04",106,"SE"
2019,"05-09",38,"SE"
